UID,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,FraudFound_P
3153,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0
11219,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,0
11624,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision,0
9609,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,0
6790,more than 30,1,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,1
11892,more than 30,more than 4,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1996,Liability,0
4672,more than 30,none,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,0
1950,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability,0
6525,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,1
4937,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,0
9983,more than 30,none,6 years,51 to 65,No,No,External,none,no change,1 vehicle,1995,Collision,0
3316,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0
14625,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Liability,0
9366,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,4 to 8 years,2 vehicles,1995,Liability,0
5441,more than 30,more than 4,6 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,Liability,0
8227,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability,0
9452,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision,0
7670,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,0
4442,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,0
4545,more than 30,more than 4,4 years,21 to 25,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,1
12639,more than 30,more than 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,0
13960,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,1
4861,more than 30,none,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,0
14849,more than 30,more than 4,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Liability,0
1644,more than 30,more than 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,0
9581,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision,0
3689,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0
14718,more than 30,none,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,0
11899,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,0
13833,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,All Perils,0
12102,more than 30,1,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1996,Liability,0
14582,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,Collision,0
8900,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
10940,more than 30,more than 4,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,0
18,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,0
15113,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,0
13477,more than 30,2 to 4,6 years,41 to 50,Yes,No,External,more than 5,no change,1 vehicle,1996,All Perils,0
13874,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,All Perils,0
3866,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils,0
14883,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,3 to 4,1996,Collision,0
8622,more than 30,more than 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
13178,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,All Perils,0
10406,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,0
450,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,0
13093,more than 30,none,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils,0
14732,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,0
8006,more than 30,2 to 4,7 years,36 to 40,Yes,No,External,none,no change,1 vehicle,1995,Collision,0
10431,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,0
13573,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,0
11299,more than 30,none,4 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,0
7336,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,1
1371,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,0
8859,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision,0
8905,more than 30,1,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,0
10223,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,1
15274,more than 30,more than 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1996,Collision,0
1545,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,0
3239,more than 30,1,6 years,31 to 35,No,No,External,none,no change,3 to 4,1994,Collision,0
7719,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,0
3617,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils,0
2010,15 to 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,0
13267,more than 30,none,5 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision,0
843,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,0
8362,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,1
403,more than 30,none,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,0
5784,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,0
1732,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,0
6962,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,0
2661,more than 30,1,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision,0
5688,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,1
10296,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,0
5889,more than 30,none,4 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,All Perils,0
4481,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,0
415,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,0
10044,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,0
12922,more than 30,1,more than 7,over 65,No,No,External,none,1 year,1 vehicle,1996,Liability,0
13809,more than 30,1,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,0
7372,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,All Perils,0
10666,more than 30,none,more than 7,51 to 65,No,No,Internal,3 to 5,no change,1 vehicle,1995,Collision,0
1178,more than 30,none,3 years,18 to 20,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,0
2184,more than 30,none,more than 7,41 to 50,No,No,External,none,1 year,2 vehicles,1994,All Perils,0
9897,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Collision,0
13646,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils,0
3480,more than 30,more than 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,0
239,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,0
12585,more than 30,2 to 4,5 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,0
10013,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,0
15000,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Liability,0
7878,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,0
1184,more than 30,none,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,0
13135,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,0
13152,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils,0
1324,more than 30,more than 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,0
9271,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,0
5922,more than 30,1,7 years,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,1994,Collision,0
736,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,0
9481,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision,0
11338,more than 30,more than 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,0
13111,more than 30,1,7 years,36 to 40,No,No,Internal,more than 5,no change,1 vehicle,1996,Collision,0
11569,more than 30,1,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,0
11576,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,0
13327,more than 30,2 to 4,more than 7,over 65,No,No,External,none,no change,1 vehicle,1996,Collision,0
13362,more than 30,none,7 years,31 to 35,No,No,External,none,2 to 3 years,1 vehicle,1996,Collision,0
13844,more than 30,2 to 4,7 years,31 to 35,Yes,No,External,1 to 2,no change,1 vehicle,1996,Liability,0
3544,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability,0
13705,more than 30,none,4 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,0
2698,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,Collision,0
14115,more than 30,1,7 years,51 to 65,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,1
13416,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision,0
8199,more than 30,2 to 4,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
7183,more than 30,1,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,0
2249,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,0
6604,more than 30,1,7 years,36 to 40,Yes,No,External,3 to 5,no change,1 vehicle,1995,Collision,0
2693,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,0
12808,more than 30,more than 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Liability,0
6266,more than 30,1,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
13472,more than 30,none,more than 7,36 to 40,Yes,No,External,3 to 5,no change,1 vehicle,1996,Liability,0
10578,more than 30,none,6 years,31 to 35,No,No,External,none,no change,3 to 4,1995,Collision,0
8709,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,0
3045,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,Collision,0
3466,more than 30,none,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,0
11667,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,1
3982,more than 30,more than 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils,0
11661,more than 30,2 to 4,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1996,Liability,0
12869,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,All Perils,0
5994,more than 30,1,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Liability,0
5325,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability,0
6905,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,0
7489,more than 30,2 to 4,7 years,36 to 40,No,No,Internal,none,no change,1 vehicle,1995,Collision,0
655,more than 30,1,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,All Perils,0
8957,more than 30,1,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,0
8750,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
11057,more than 30,more than 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,0
3214,more than 30,none,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0
4679,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,0
455,more than 30,none,6 years,31 to 35,No,No,External,none,1 year,1 vehicle,1994,Collision,0
13647,more than 30,2 to 4,6 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils,0
13950,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,0
9356,more than 30,none,4 years,26 to 30,No,No,External,none,no change,1 vehicle,1995,All Perils,0
8636,more than 30,2 to 4,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,0
6631,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,0
6680,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,All Perils,1
10784,more than 30,1,new,16 to 17,No,Yes,External,none,no change,1 vehicle,1995,All Perils,0
10174,more than 30,none,6 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,0
3432,more than 30,more than 4,6 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,0
673,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability,0
11489,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,All Perils,0
12186,more than 30,none,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,0
9647,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,0
12921,more than 30,2 to 4,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils,1
3661,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,0
8262,more than 30,1,2 years,21 to 25,No,No,External,none,2 to 3 years,1 vehicle,1995,Collision,0
4339,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,0
1977,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,0
1854,more than 30,2 to 4,6 years,31 to 35,No,No,Internal,more than 5,no change,1 vehicle,1994,Collision,0
2291,more than 30,2 to 4,6 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision,0
2454,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,0
6638,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,0
10954,more than 30,2 to 4,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,0
12355,more than 30,none,4 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1996,Collision,0
13348,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,0
3098,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,0
9952,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision,0
10478,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,0
171,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,0
14203,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,0
7272,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,0
1445,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,0
5822,more than 30,none,7 years,36 to 40,No,No,External,3 to 5,no change,3 to 4,1994,Collision,0
10529,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability,1
7830,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
10774,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision,0
1607,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,0
